Task: 1, Test Name: validateMainMenuVisible, DOM Locator: By.id: DIV__mainmenu__15, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: validateSearchIconVisible, DOM Locator: By.id: A__btnsearchm__59, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: validateSearchBarDivVisible, DOM Locator: By.id: DIV__customsear__41, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: validateSearchBarIconVisible, DOM Locator: By.id: BUTTONsubmit____43, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: validateSearchBarInputVisible, DOM Locator: By.id: INPUTtext____42, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: validateSearchBarText, DOM Locator: By.id: INPUTtext____42, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: validateAccessLinkVisible, DOM Locator: By.id: A__accesslink__56, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: validateWishListVisible, DOM Locator: By.id: A__wishlist__52, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: validateCartVisible, DOM Locator: By.id: A__cartbt__49, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: validateCartValueVisible, DOM Locator: By.id: STRONG____50, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: validateCartValue, DOM Locator: By.id: STRONG____50, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: validateToolsMargin, DOM Locator: id: UL__toptools__46 -> li, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: validateToolsMargin, DOM Locator: id: UL__toptools__46 -> li, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: validateToolsMargin, DOM Locator: id: UL__toptools__46 -> li, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: validateToolsMargin, DOM Locator: id: UL__toptools__46 -> li, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
